institution,ukprn,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam,10007833,32.0,"Art and Design: History, Practice and Theory",640a0ff5-afa1-4a31-9441-b4a37e32cfac,‘Carbon Meets Silicon’ curatorial project and collaboration,D,2.5,Low,20.176772303907228,12.845644701540625,18.318740655914606,19.326460971678564,0.3762,0.0,0.3818,0.6955,0.8289,24,5,8,"###; ###  4; 114 countries\; over £250,000",250118.0,1212,20
The University of Reading,10007802,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",db8090f9-2c4a-45bd-a67c-977353397ed3,‘Clamorous Objects: Unmuting the Archive’– changing the way collections are interpreted and presented to engage new and larger audiences,D,3.0,Low,24.186000000000007,12.646237566137566,18.57415568134994,21.341825922421954,0.3671,0.0,0.4117,0.6339,0.8181,23,5,2,,0.0,1359,16
Goldsmiths' College,10002718,32.0,"Art and Design: History, Practice and Theory",feb74fb5-855a-4273-b8ad-5dc79be8b098,‘Counter forensics’ and award-winning curatorial practice leads to state accountability in Germany: The Halit Yozgat case,D,3.5840000000000005,High,23.10759154929579,12.717745633802817,18.243605946275583,19.31984954864594,-0.0426,-0.7277,0.0,0.2472,0.6533,15,6,4,###; ###  4,4.0,997,24
Swansea University / Prifysgol Abertawe,10007855,27.0,English Language and Literature,8f7825bc-50e4-4313-8ad1-1837d483f903,"‘Dylan Live’: Influencing Artistic Practice, Public Knowledge, Arts Strategy and Educational Outreach Through Research-Based Multi-Media Performance",D,3.3329999999999997,High,23.18823084126737,13.186613781801155,18.418345924185815,22.259633464774737,0.2206,0.0,0.0,0.4672,0.812,17,25,13,###,0.0,1498,11
University of Aberdeen,10007783,30.0,Philosophy,34e7e0ef-e939-490f-af01-c05891314892,‘Enabling people to live (and die) well’: enhancing patient care and policy with philosophical research on ‘person-centred’ approaches to healthcare,D,2.25,Low,15.107909090909118,12.13772803030303,19.739881575394175,23.784810762197402,0.3404,-0.0695,0.4579,0.6218,0.7703,11,2,4,###; ###  4,4.0,1213,23
Courtauld Institute of Art,10007761,32.0,"Art and Design: History, Practice and Theory",dfe521c4-5b2b-4e6c-bd3c-7b1d69d60310,‘Fashion Interpretations’: Medium and Diversity in Fashion History,D,3.25,High,18.681916273584903,12.124702096436058,18.444694687278712,20.905783572526907,0.255,0.0,0.1652,0.4887,0.7273,14,11,7,###,0.0,1951,11
University of Stirling,10007804,20.0,Social Work and Social Policy,8ec473a5-bbeb-47e1-b782-10ad4a5acbd5,‘Food for Thought’: Improving the Food Practices of Residential and Foster Carers,C,3.25,High,30.98937056906624,12.235466577109081,17.065874531965374,19.662128490958608,0.3104,0.0,0.2944,0.7269,0.8504,23,6,11,#,0.0,1907,37
The Open University,10007773,17.0,Business and Management Studies,ee235d5c-5bf4-40a5-94da-9591ce9e1d6a,‘Growing greener’: enhancing the capacity of intermediary organisations to engage with small and medium-sized enterprises on environmental sustainability,C,3.3340000000000005,High,5.392713864306813,13.544158997050149,20.477631830292342,26.36599067599068,0.4982,0.0,0.5955,0.8061,0.8667,23,5,12,###; ###  4,4.0,1716,17
University of Strathclyde,10007805,20.0,Social Work and Social Policy,d25d0e7c-de58-480b-88dc-80c67992943f,"‘Here to Stay’ - Influencing policy, improving public services for Eastern European migrant young people and informing public debate and attitudes to migration",C,2.75,Low,21.365449170576028,13.412432433783108,18.519692801259914,22.314978378890224,0.1963,-0.6249,0.2023,0.5574,0.8,42,11,6,###  4.1; ###  ,4.1,2044,17
The University of Hull,10007149,27.0,English Language and Literature,b21e6a78-02d9-4230-93f9-a036b4290e22,‘Hopeful’ Approaches to (Ex) Prisoners’ Reintegration; Creative and Critical Educational Practices,D,3.5,High,29.120422077922115,12.099783603896105,17.422090080964352,20.149848363926573,0.1477,-0.5219,0.0129,0.5775,0.7326,31,22,10,,0.0,2506,20
